id	name	description	additionalTypeId	additionalTypeName	startDate	endDate	addressLocality	addressRegion	postalCode	streetAddress	latitude	longitude	citation	http://cinemacontext.nl/id/sameAs
cc63297d219d6d7	Bellevue	Voortzetting Cinema Pathé Frères	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1913-01-01		Paramaribo			Domineestraat	5.82667476492985	-55.1579826169601	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001704
cc63356ec1a701d	Kino Scheurlen		https://homernetwork.github.io/vocabulary/venues/Multipurpose_venue;https://homernetwork.github.io/vocabulary/venues/Public_venue	zaal;Public venue	1912-08-01	1924-12-31	Paramaribo			Keizerstraat	5.82671845373207	-55.1566030900556	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001701
cc63357845b442d	Cinéma Pathé Frères	De Cinéma Pathé Frères was gevestigd in de Loge Concordia. Bij droog weer werden ook buiten voorstellingen gegeven. In mei 1913 verhuisde de exploitatie naar het nieuw gebouwde Bellevue theater aan de Dominéstraat	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1912-01-01	1913-05-31	Paramaribo			Gravenstraat 2	5.82739150202044	-55.1523679853491	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001702
cc63357918595b7	Hollandsch-Amerikaansche Bioscoop	De Hollandsch-Amerikaansche bioscoop opereerde in Theater Thalia	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1912-11-07		Paramaribo			Wagenwegstraat	5.83081098696097	-55.1598579902848	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001703
cc63357b83efbf9	Cinema Elize	Opgevolgd door nieuwbouw Luxor in 1937. Mogelijk voortzetting van De Kroon na 1929.	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1931-01-24	1937-12-31	Paramaribo			Zwartenhovenbrugstraat 70	5.82616411655119	-55.1623773255393	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001705
cc63357e1527947	Kinematograaf	Hier werden in 1898 'Photografie van levende beelden' vertoond op zaterdag- en zondagavonden	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1898-01-01		Paramaribo			Hoek Watermolen en Heerenstraat	5.82710885521838	-55.1541620546859	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001744
cc63357fb3996a7	Luxor	Nieuwbouw die het voormalige Cinema Elize verving in 1937.	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1937-01-01	2002-12-31	Paramaribo			Zwartenhovenbrugstraat 70	5.82616411655119	-55.1623773255393	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001773
cc633580da3503b	Royal	Royal opereerde in het Thalia theater. Laatste advertentie gevonden in 1950, vermoedelijk ergens in dat jaar gesloten.	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1935-02-01	1950-12-31	Paramaribo			Wagenwegstraat	5.83081098696097	-55.1598579902848	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001707
cc6335828f346f1	Sociable Hall	In deze zaal werden vanaf 1898 diverse filmvoorstellingen georganiseerd	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1898-01-01		Paramaribo			Gravenstraat			Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	
cc633f262e00b66	Tower		https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1948-01-01	1998-12-31	Paramaribo			Heerenstraat	5.82951506956742	-55.1576204460388	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001754
cc634829d4a36fb	Kong Ngie Tong		https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1933-12-09		Paramaribo			Steenbakkersgracht	5.82441707320224	-55.1618401811729	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	
cc635146da507e0	Star		https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1957-12-12	1999-12-31	Paramaribo			Wagenwegstraat 79-81	5.82974400459015	-55.1600463014844	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001749
cc6351499140bdd	Jasodra	"Ook wel geschreven als ""Jassodra"". Genoemd naar Mevr. Jasodra Manichand, echtgenote van de eigenaar J.R. Manichand; Cinemascope"	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1958-04-10		Paramaribo			Kleine Saramaccastraat	5.81976860801067	-55.165084907054	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001709
cc63514ba0c0d9f	Empire		https://homernetwork.github.io/vocabulary/venues/Multipurpose_venue;https://homernetwork.github.io/vocabulary/venues/Public_venue	Verenigingsgebouw;Public venue	1964-01-01		Paramaribo			Rust en Vredestraat	5.83049078070508	-55.1646219088197	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001715
cc635153684afa1	City	70mm projector; vermoedelijk geopend sept. 1972	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1972-01-01		Paramaribo			Kwattaweg RRMM+R2G	5.83466949158561	-55.167273240786	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001721
cc6351584286f2b	Lincoln	"Specialiseerde in Indonesische films.
Gekocht voor f310.000 in 1975."	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1975-06-13		Paramaribo			Wicherstraat 46	5.8342423115822	-55.1463383078867	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001743
cc635159bbb21ad	(New) Royal		https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1962-12-07	1975-12-31	Paramaribo			Wicherstraat 46	5.8342423115822	-55.1463383078867	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001719
cc635179335f1cf	Liberty	"Vrije Stem schrijft op 18-2-1978: 'De naam ""Liberty"" is door de heer Tewari bewust gekozen om de vrijheid te symboliseren van het Surinaamse volk. Hij zegt middels educatieve en culturele films zijn bijdrage te zullen leveren aan de vorming van de Surinaamse burgers.'"	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema;military cinema	1978-02-17		Paramaribo			Koningstraat 58-60	5.81658504342113	-55.1748971798353	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001767
cc63517cb822645	De Paarl		https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1958-05-24		Paramaribo			Wanicastraat [ingang Zorg en Hoop - Hermitage]	5.81483167775224	-55.1774224460943	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001720
cc6358f516a4ce6	TBL Cinemas		https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	2010-11-01		Paramaribo			Lalla Rookhweg 79	5.81779487951746	-55.205516012586	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001733
cc6358f71a156d9	Victoria	Kino Scheurlen heropent als Theater Victoria na overname door eigenaar Bellevue	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1924-12-23		Paramaribo			Keizerstraat	5.82671845373207	-55.1566030900556	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001706
cc6358ff1f6b1cb	De Kroon		https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1928-01-01	1929-12-31	Paramaribo			Koningstraat			Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001776
