"id"	"name"	"description"	"latitude"	"longitude"	"citation"
1	"Astor"		10.66117876	-61.5200403	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
2	"Cinema 2"	"Location estimated"	10.65519636	-61.51224199	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
3	"Deluxe"		10.66287415	-61.51069165	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
4	"Electric Central"	"Location estimated"	10.66267241	-61.51939315	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
5	"Embassy"		10.65626484	-61.51223792	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
6	"Empire"	"Location estimated"	10.65519636	-61.51224199	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
7	"Gaiety"		10.64788843	-61.49058959	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
8	"Globe"		10.65663052	-61.51229117	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
9	"New City"	"Location estimated"	10.65968537	-61.50990573	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
10	"Odeon"	"Location estimated"	10.65671725	-61.50778414	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
11	"Olympic"		10.66643371	-61.50475889	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
12	"Pyramid"		10.65812858	-61.50833926	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
13	"Rex"	"Location estimated"	10.66142237	-61.50927037	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
14	"Rio"		10.64922296	-61.48447843	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
15	"Royal"		10.65721146	-61.50823533	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
16	"Roxy"		10.66818712	-61.52696191	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
17	"St. James"		10.6695589	-61.52807488	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
18	"State"		10.65617522	-61.51239012	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
19	"Strand"		10.65810384	-61.51374399	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
20	"Superstar"	"Location estimated"	10.65522268	-61.51134606	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
21	"Vistarama"	"Location estimated"	10.65519636	-61.51224199	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
22	"Embassy"	"Location estimated"	10.30468559	-61.45065309	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
23	"Empire"		10.27883098	-61.46269456	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
24	"Gaiety"		10.27883098	-61.46269456	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
25	"Globe"	"Location estimated"	10.27587402	-61.46164502	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
26	"Habosco"		10.27883098	-61.46269456	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
27	"Metro"		10.28000758	-61.46503149	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
28	"National"		10.27692268	-61.46414815	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
29	"New DeLuxe"		10.28026093	-61.4650154	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
30	"New"	"Location estimated"	10.30247976	-61.44931381	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
31	"Palace"	"Location estimated"	10.30247976	-61.44931381	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
32	"Radio-City"	"Location estimated"	10.27692268	-61.18505951	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
33	"Rivoli"	"Location estimated"	10.27820529	-61.45960093	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
34	"Carib"	"Location estimated"	10.42565405	-61.45865566	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
35	"Couva"	"Location estimated"	10.42565405	-61.45865566	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
36	"Metro"	"Location estimated"	10.42565405	-61.45865566	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
37	"Reno"	"Location estimated"	10.42565405	-61.45865566	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
38	"Revue"	"Location estimated"	10.42565405	-61.45865566	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
39	"Eros"		10.64570896	-61.38451299	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
40	"Monarch"	"Location estimated"	10.64514323	-61.39318312	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
41	"Palladium"	"Location estimated"	10.64448267	-61.39011666	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
42	"Crest"	"Location estimated"	10.64595918	-61.40994484	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
43	"Planet"	"Location estimated"	10.6568098	-61.40953454	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
44	"Silk"	"Location estimated"	10.59161795	-61.13123409	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
45	"Oriental"	"Location estimated"	10.59161795	-61.13123409	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
46	"Palladium"		10.64512898	-61.39021208	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
47	"Central"	"Location estimated"	10.29146942	-61.38622316	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
48	"Princess"	"Location estimated"	10.29146942	-61.38622316	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
49	"Empress"	"Location estimated"	10.29146942	-61.38622316	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
50	"State"	"Location estimated"	10.29146942	-61.38622316	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
51	"Lyceum"	"Location estimated"	10.09279665	-61.52892368	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
52	"Plaza"	"Location estimated"	10.09279665	-61.52892368	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
53	"Regent"	"Location estimated"	10.14368824	-61.51132169	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
54	"Point Fortin"	"Location estimated"	10.17060061	-61.67100292	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
55	"Strand"	"Location estimated"	10.17110436	-61.67889286	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
56	"Rex"	"Location estimated"	11.1827121	-60.73606298	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
57	"Tobago"	"Location estimated"	11.18532655	-60.72760481	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
58	"Fyzabad Empire"	"Location estimated"	10.18013681	-61.53447237	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
59	"Universal"	"Location estimated"	10.18013681	-61.53447237	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
60	"Castle"	"Location estimated"	10.51383646	-61.39906355	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
61	"Central"	"Location estimated"	10.1961024	-61.40205239	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
62	"Electric theater"	"Location estimated"	10.1961024	-61.40205239	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
63	"Globe"	"Location estimated"	10.51503916	-61.41368685	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
64	"Jubilee"		10.51503388	-61.4137083	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
65	"Popular"	"Location estimated"	10.1961024	-61.40205239	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
66	"Star"	"Location estimated"	10.51570305	-61.39522628	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
67	"Regal"	"Location estimated"	10.55804063	-61.38113398	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
68	"Arima"	"Location estimated"	10.63212532	-61.28382062	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
69	"Cinema Circuit"		10.63917292	-61.28258918	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
70	"Princess"		10.64279187	-61.28140855	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
71	"Windsor"		10.65034587	-61.43634354	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
72	"Sunbeam"	"Location estimated"	10.16944972	-61.43674943	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
73	"Regent"	"Location estimated"	10.16542838	-61.42694316	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
74	"Mars"		10.65073878	-61.37591606	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
75	"Rex"	"Location estimated"	10.7242864	-61.56309221	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
76	"Castle"	"Location estimated"	10.6633748	-61.45005956	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
77	"Gem"	"Location estimated"	10.65135057	-61.45306095	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
78	"Globe"	"Location estimated"	10.66490977	-61.45061544	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
79	"Ritz"		10.65075265	-61.45977358	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
80	"Pyramid"	"Location estimated"	10.65218064	-61.44566906	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
81	"Sanz"	"Location estimated"	10.65026602	-61.45464916	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
82	"Venus"	"Location estimated"	10.23568781	-61.49871922	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
83	"Emerald"		10.48082749	-61.46844193	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
84	"Mars"	"Location estimated"	10.48156558	-61.43649133	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
85	"Pax"	"Location estimated"	10.48122798	-61.43623384	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
86	"Sunset"	"Location estimated"	10.40341944	-61.46881699	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
87	"Tivoli"	"Location estimated"	10.07244184	-61.865176	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
88	"Crown"	"Location estimated"	10.33172013	-61.1689577	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
